mode,sample,launches_per_event_interval,first,fe2o3_us,hipblaslt_us
synchronized_latency,175,1,hipblaslt,6.44,8.96
synchronized_latency,176,1,fe2o3,7.44,11.28
synchronized_latency,177,1,hipblaslt,10.2,11.8
synchronized_latency,178,1,fe2o3,6.88,14.8
synchronized_latency,179,1,hipblaslt,6.56,11.28
synchronized_latency,180,1,fe2o3,11.52,11.48
synchronized_latency,181,1,hipblaslt,6.48,11.28
synchronized_latency,182,1,fe2o3,6.44,20.2
synchronized_latency,183,1,hipblaslt,6.56,11.4
synchronized_latency,184,1,fe2o3,6.44,7.76
synchronized_latency,185,1,hipblaslt,8.52,15.16
synchronized_latency,186,1,fe2o3,6.56,14.68
synchronized_latency,187,1,hipblaslt,10.88,12.92
synchronized_latency,188,1,fe2o3,6.44,11.56
synchronized_latency,189,1,hipblaslt,6.36,7.88
synchronized_latency,190,1,fe2o3,11.2,12.36
synchronized_latency,191,1,hipblaslt,7.64,7.72
synchronized_latency,192,1,fe2o3,7.36,7.8
synchronized_latency,193,1,hipblaslt,6.84,13.96
synchronized_latency,194,1,fe2o3,7.48,19.8
synchronized_latency,195,1,hipblaslt,7.84,19.56
synchronized_latency,196,1,fe2o3,12.12,11.32
synchronized_latency,197,1,hipblaslt,6.36,11.24
synchronized_latency,198,1,fe2o3,6.761,16.52
synchronized_latency,199,1,hipblaslt,6.6,18.72
synchronized_latency,200,1,fe2o3,11.4,8
synchronized_latency,201,1,hipblaslt,7.72,11.24
synchronized_latency,202,1,fe2o3,6.48,11.2
synchronized_latency,203,1,hipblaslt,6.56,28.96
synchronized_latency,204,1,fe2o3,6.52,7.72
synchronized_latency,205,1,hipblaslt,6.48,7.76
synchronized_latency,206,1,fe2o3,6.48,7.881
synchronized_latency,207,1,hipblaslt,11.04,7.72
synchronized_latency,208,1,fe2o3,6.48,7.8
synchronized_latency,209,1,hipblaslt,6.44,7.68
synchronized_latency,210,1,fe2o3,6.4,8.12
synchronized_latency,211,1,hipblaslt,7.2,8.28
synchronized_latency,212,1,fe2o3,6.48,7.88
synchronized_latency,213,1,hipblaslt,6.4,7.88
synchronized_latency,214,1,fe2o3,6.36,7.72
synchronized_latency,215,1,hipblaslt,6.48,7.92
synchronized_latency,216,1,fe2o3,6.4,7.96
synchronized_latency,217,1,hipblaslt,6.561,8.36
synchronized_latency,218,1,fe2o3,6.6,7.92
synchronized_latency,219,1,hipblaslt,6.56,7.8
synchronized_latency,220,1,fe2o3,6.44,8
synchronized_latency,221,1,hipblaslt,6.4,7.8
synchronized_latency,222,1,fe2o3,6.36,7.88
synchronized_latency,223,1,hipblaslt,6.4,8
synchronized_latency,224,1,fe2o3,6.48,7.84
synchronized_latency,225,1,hipblaslt,6.48,7.84
